expression,from,next,prev
"*/10 * * * *",2026-08-31T23:00:00,2026-08-31T23:10:00,2026-08-31T23:00:00
"*/10 * * * *",2026-12-31T23:59:59,2027-01-01T00:00:00,2026-12-31T23:50:00
"*/10 * * * *",2027-01-01T00:00:00,2027-01-01T00:10:00,2027-01-01T00:00:00
"*/10 * * * *",2028-02-28T12:00:00,2028-02-28T12:10:00,2028-02-28T12:00:00
"*/10 * * * *",2028-02-29T12:00:00,2028-02-29T12:10:00,2028-02-29T12:00:00
"*/10 * * * *",2026-09-01T09:59:59,2026-09-01T10:00:00,2026-09-01T09:50:00
"*/10 * * * *",2026-11-23T04:05:06,2026-11-23T04:10:00,2026-11-23T04:00:00
"*/15 * * * *",2026-01-01T00:00:00,2026-01-01T00:15:00,2026-01-01T00:00:00
"*/15 * * * *",2026-02-28T23:59:00,2026-03-01T00:00:00,2026-02-28T23:45:00
"*/15 * * * *",2026-03-01T00:00:30,2026-03-01T00:15:00,2026-03-01T00:00:00
"*/15 * * * *",2026-06-15T14:30:45,2026-06-15T14:45:00,2026-06-15T14:30:00
"*/15 * * * *",2026-07-03T14:30:45,2026-07-03T14:45:00,2026-07-03T14:30:00
"*/15 * * * *",2026-08-31T23:00:00,2026-08-31T23:15:00,2026-08-31T23:00:00
"*/15 * * * *",2026-12-31T23:59:59,2027-01-01T00:00:00,2026-12-31T23:45:00
"*/15 * * * *",2027-01-01T00:00:00,2027-01-01T00:15:00,2027-01-01T00:00:00
"*/15 * * * *",2028-02-28T12:00:00,2028-02-28T12:15:00,2028-02-28T12:00:00
"*/15 * * * *",2028-02-29T12:00:00,2028-02-29T12:15:00,2028-02-29T12:00:00
"*/15 * * * *",2026-09-01T09:59:59,2026-09-01T10:00:00,2026-09-01T09:45:00
"*/15 * * * *",2026-11-23T04:05:06,2026-11-23T04:15:00,2026-11-23T04:00:00
"0 * * * *",2026-01-01T00:00:00,2026-01-01T01:00:00,2026-01-01T00:00:00
"0 * * * *",2026-02-28T23:59:00,2026-03-01T00:00:00,2026-02-28T23:00:00
"0 * * * *",2026-03-01T00:00:30,2026-03-01T01:00:00,2026-03-01T00:00:00
"0 * * * *",2026-06-15T14:30:45,2026-06-15T15:00:00,2026-06-15T14:00:00
"0 * * * *",2026-07-03T14:30:45,2026-07-03T15:00:00,2026-07-03T14:00:00
"0 * * * *",2026-08-31T23:00:00,2026-09-01T00:00:00,2026-08-31T23:00:00
"0 * * * *",2026-12-31T23:59:59,2027-01-01T00:00:00,2026-12-31T23:00:00
"0 * * * *",2027-01-01T00:00:00,2027-01-01T01:00:00,2027-01-01T00:00:00
"0 * * * *",2028-02-28T12:00:00,2028-02-28T13:00:00,2028-02-28T12:00:00
"0 * * * *",2028-02-29T12:00:00,2028-02-29T13:00:00,2028-02-29T12:00:00
"0 * * * *",2026-09-01T09:59:59,2026-09-01T10:00:00,2026-09-01T09:00:00
"0 * * * *",2026-11-23T04:05:06,2026-11-23T05:00:00,2026-11-23T04:00:00
"30 2 * * *",2026-01-01T00:00:00,2026-01-01T02:30:00,2025-12-31T02:30:00
"30 2 * * *",2026-02-28T23:59:00,2026-03-01T02:30:00,2026-02-28T02:30:00
"30 2 * * *",2026-03-01T00:00:30,2026-03-01T02:30:00,2026-02-28T02:30:00
"30 2 * * *",2026-06-15T14:30:45,2026-06-16T02:30:00,2026-06-15T02:30:00
"30 2 * * *",2026-07-03T14:30:45,2026-07-04T02:30:00,2026-07-03T02:30:00
"30 2 * * *",2026-08-31T23:00:00,2026-09-01T02:30:00,2026-08-31T02:30:00
"30 2 * * *",2026-12-31T23:59:59,2027-01-01T02:30:00,2026-12-31T02:30:00
"30 2 * * *",2027-01-01T00:00:00,2027-01-01T02:30:00,2026-12-31T02:30:00
"30 2 * * *",2028-02-28T12:00:00,2028-02-29T02:30:00,2028-02-28T02:30:00
"30 2 * * *",2028-02-29T12:00:00,2028-03-01T02:30:00,2028-02-29T02:30:00
"30 2 * * *",2026-09-01T09:59:59,2026-09-02T02:30:00,2026-09-01T02:30:00
"30 2 * * *",2026-11-23T04:05:06,2026-11-24T02:30:00,2026-11-23T02:30:00
"0 0 * * *",2026-01-01T00:00:00,2026-01-02T00:00:00,2026-01-01T00:00:00
"0 0 * * *",2026-02-28T23:59:00,2026-03-01T00:00:00,2026-02-28T00:00:00
"0 0 * * *",2026-03-01T00:00:30,2026-03-02T00:00:00,2026-03-01T00:00:00
"0 0 * * *",2026-06-15T14:30:45,2026-06-16T00:00:00,2026-06-15T00:00:00
"0 0 * * *",2026-07-03T14:30:45,2026-07-04T00:00:00,2026-07-03T00:00:00
"0 0 * * *",2026-08-31T23:00:00,2026-09-01T00:00:00,2026-08-31T00:00:00
"0 0 * * *",2026-12-31T23:59:59,2027-01-01T00:00:00,2026-12-31T00:00:00
"0 0 * * *",2027-01-01T00:00:00,2027-01-02T00:00:00,2027-01-01T00:00:00
"0 0 * * *",2028-02-28T12:00:00,2028-02-29T00:00:00,2028-02-28T00:00:00
"0 0 * * *",2028-02-29T12:00:00,2028-03-01T00:00:00,2028-02-29T00:00:00
"0 0 * * *",2026-09-01T09:59:59,2026-09-02T00:00:00,2026-09-01T00:00:00
"0 0 * * *",2026-11-23T04:05:06,2026-11-24T00:00:00,2026-11-23T00:00:00
"0 9 * * 1-5",2026-01-01T00:00:00,2026-01-01T09:00:00,2025-12-31T09:00:00
"0 9 * * 1-5",2026-02-28T23:59:00,2026-03-02T09:00:00,2026-02-27T09:00:00
"0 9 * * 1-5",2026-03-01T00:00:30,2026-03-02T09:00:00,2026-02-27T09:00:00
"0 9 * * 1-5",2026-06-15T14:30:45,2026-06-16T09:00:00,2026-06-15T09:00:00
"0 9 * * 1-5",2026-07-03T14:30:45,2026-07-06T09:00:00,2026-07-03T09:00:00
"0 9 * * 1-5",2026-08-31T23:00:00,2026-09-01T09:00:00,2026-08-31T09:00:00
"0 9 * * 1-5",2026-12-31T23:59:59,2027-01-01T09:00:00,2026-12-31T09:00:00
"0 9 * * 1-5",2027-01-01T00:00:00,2027-01-01T09:00:00,2026-12-31T09:00:00
"0 9 * * 1-5",2028-02-28T12:00:00,2028-02-29T09:00:00,2028-02-28T09:00:00
"0 9 * * 1-5",2028-02-29T12:00:00,2028-03-01T09:00:00,2028-02-29T09:00:00
"0 9 * * 1-5",2026-09-01T09:59:59,2026-09-02T09:00:00,2026-09-01T09:00:00
"0 9 * * 1-5",2026-11-23T04:05:06,2026-11-23T09:00:00,2026-11-20T09:00:00
"0 9 * * mon-fri",2026-01-01T00:00:00,2026-01-01T09:00:00,2025-12-31T09:00:00
"0 9 * * mon-fri",2026-02-28T23:59:00,2026-03-02T09:00:00,2026-02-27T09:00:00
"0 9 * * mon-fri",2026-03-01T00:00:30,2026-03-02T09:00:00,2026-02-27T09:00:00
"0 9 * * mon-fri",2026-06-15T14:30:45,2026-06-16T09:00:00,2026-06-15T09:00:00
"0 9 * * mon-fri",2026-07-03T14:30:45,2026-07-06T09:00:00,2026-07-03T09:00:00
"0 9 * * mon-fri",2026-08-31T23:00:00,2026-09-01T09:00:00,2026-08-31T09:00:00
"0 9 * * mon-fri",2026-12-31T23:59:59,2027-01-01T09:00:00,2026-12-31T09:00:00
"0 9 * * mon-fri",2027-01-01T00:00:00,2027-01-01T09:00:00,2026-12-31T09:00:00
"0 9 * * mon-fri",2028-02-28T12:00:00,2028-02-29T09:00:00,2028-02-28T09:00:00
"0 9 * * mon-fri",2028-02-29T12:00:00,2028-03-01T09:00:00,2028-02-29T09:00:00
"0 9 * * mon-fri",2026-09-01T09:59:59,2026-09-02T09:00:00,2026-09-01T09:00:00
"0 9 * * mon-fri",2026-11-23T04:05:06,2026-11-23T09:00:00,2026-11-20T09:00:00
"15 14 1 * *",2026-01-01T00:00:00,2026-01-01T14:15:00,2025-12-01T14:15:00
"15 14 1 * *",2026-02-28T23:59:00,2026-03-01T14:15:00,2026-02-01T14:15:00
"15 14 1 * *",2026-03-01T00:00:30,2026-03-01T14:15:00,2026-02-01T14:15:00
"15 14 1 * *",2026-06-15T14:30:45,2026-07-01T14:15:00,2026-06-01T14:15:00
"15 14 1 * *",2026-07-03T14:30:45,2026-08-01T14:15:00,2026-07-01T14:15:00
"15 14 1 * *",2026-08-31T23:00:00,2026-09-01T14:15:00,2026-08-01T14:15:00
"15 14 1 * *",2026-12-31T23:59:59,2027-01-01T14:15:00,2026-12-01T14:15:00
"15 14 1 * *",2027-01-01T00:00:00,2027-01-01T14:15:00,2026-12-01T14:15:00
"15 14 1 * *",2028-02-28T12:00:00,2028-03-01T14:15:00,2028-02-01T14:15:00
"15 14 1 * *",2028-02-29T12:00:00,2028-03-01T14:15:00,2028-02-01T14:15:00
"15 14 1 * *",2026-09-01T09:59:59,2026-09-01T14:15:00,2026-08-01T14:15:00
"15 14 1 * *",2026-11-23T04:05:06,2026-12-01T14:15:00,2026-11-01T14:15:00
"0 22 * * 1,3,5",2026-01-01T00:00:00,2026-01-02T22:00:00,2025-12-31T22:00:00
"0 22 * * 1,3,5",2026-02-28T23:59:00,2026-03-02T22:00:00,2026-02-27T22:00:00
"0 22 * * 1,3,5",2026-03-01T00:00:30,2026-03-02T22:00:00,2026-02-27T22:00:00
"0 22 * * 1,3,5",2026-06-15T14:30:45,2026-06-15T22:00:00,2026-06-12T22:00:00
"0 22 * * 1,3,5",2026-07-03T14:30:45,2026-07-03T22:00:00,2026-07-01T22:00:00
"0 22 * * 1,3,5",2026-08-31T23:00:00,2026-09-02T22:00:00,2026-08-31T22:00:00
"0 22 * * 1,3,5",2026-12-31T23:59:59,2027-01-01T22:00:00,2026-12-30T22:00:00
"0 22 * * 1,3,5",2027-01-01T00:00:00,2027-01-01T22:00:00,2026-12-30T22:00:00
"0 22 * * 1,3,5",2028-02-28T12:00:00,2028-02-28T22:00:00,2028-02-25T22:00:00
"0 22 * * 1,3,5",2028-02-29T12:00:00,2028-03-01T22:00:00,2028-02-28T22:00:00
"0 22 * * 1,3,5",2026-09-01T09:59:59,2026-09-02T22:00:00,2026-08-31T22:00:00
"0 22 * * 1,3,5",2026-11-23T04:05:06,2026-11-23T22:00:00,2026-11-20T22:00:00
"5/15 * * * *",2026-01-01T00:00:00,2026-01-01T00:05:00,2025-12-31T23:50:00
"5/15 * * * *",2026-02-28T23:59:00,2026-03-01T00:05:00,2026-02-28T23:50:00
"5/15 * * * *",2026-03-01T00:00:30,2026-03-01T00:05:00,2026-02-28T23:50:00
"5/15 * * * *",2026-06-15T14:30:45,2026-06-15T14:35:00,2026-06-15T14:20:00
"5/15 * * * *",2026-07-03T14:30:45,2026-07-03T14:35:00,2026-07-03T14:20:00
"5/15 * * * *",2026-08-31T23:00:00,2026-08-31T23:05:00,2026-08-31T22:50:00
"5/15 * * * *",2026-12-31T23:59:59,2027-01-01T00:05:00,2026-12-31T23:50:00
"5/15 * * * *",2027-01-01T00:00:00,2027-01-01T00:05:00,2026-12-31T23:50:00
"5/15 * * * *",2028-02-28T12:00:00,2028-02-28T12:05:00,2028-02-28T11:50:00
"5/15 * * * *",2028-02-29T12:00:00,2028-02-29T12:05:00,2028-02-29T11:50:00
"5/15 * * * *",2026-09-01T09:59:59,2026-09-01T10:05:00,2026-09-01T09:50:00
"5/15 * * * *",2026-11-23T04:05:06,2026-11-23T04:20:00,2026-11-23T04:05:00
"0 0 1 1 *",2026-01-01T00:00:00,2027-01-01T00:00:00,2026-01-01T00:00:00
"0 0 1 1 *",2026-02-28T23:59:00,2027-01-01T00:00:00,
"0 0 1 1 *",2026-03-01T00:00:30,2027-01-01T00:00:00,
"0 0 1 1 *",2026-06-15T14:30:45,2027-01-01T00:00:00,
"0 0 1 1 *",2026-07-03T14:30:45,2027-01-01T00:00:00,
"0 0 1 1 *",2026-08-31T23:00:00,2027-01-01T00:00:00,
"0 0 1 1 *",2026-12-31T23:59:59,2027-01-01T00:00:00,
"0 0 1 1 *",2027-01-01T00:00:00,2028-01-01T00:00:00,2027-01-01T00:00:00
"0 0 1 1 *",2028-02-28T12:00:00,2029-01-01T00:00:00,
"0 0 1 1 *",2028-02-29T12:00:00,2029-01-01T00:00:00,
"0 0 1 1 *",2026-09-01T09:59:59,2027-01-01T00:00:00,
"0 0 1 1 *",2026-11-23T04:05:06,2027-01-01T00:00:00,
"0 12 * * 0",2026-01-01T00:00:00,2026-01-04T12:00:00,2025-12-28T12:00:00
"0 12 * * 0",2026-02-28T23:59:00,2026-03-01T12:00:00,2026-02-22T12:00:00
"0 12 * * 0",2026-03-01T00:00:30,2026-03-01T12:00:00,2026-02-22T12:00:00
"0 12 * * 0",2026-06-15T14:30:45,2026-06-21T12:00:00,2026-06-14T12:00:00
"0 12 * * 0",2026-07-03T14:30:45,2026-07-05T12:00:00,2026-06-28T12:00:00
"0 12 * * 0",2026-08-31T23:00:00,2026-09-06T12:00:00,2026-08-30T12:00:00
"0 12 * * 0",2026-12-31T23:59:59,2027-01-03T12:00:00,2026-12-27T12:00:00
"0 12 * * 0",2027-01-01T00:00:00,2027-01-03T12:00:00,2026-12-27T12:00:00
"0 12 * * 0",2028-02-28T12:00:00,2028-03-05T12:00:00,2028-02-27T12:00:00
"0 12 * * 0",2028-02-29T12:00:00,2028-03-05T12:00:00,2028-02-27T12:00:00
"0 12 * * 0",2026-09-01T09:59:59,2026-09-06T12:00:00,2026-08-30T12:00:00
"0 12 * * 0",2026-11-23T04:05:06,2026-11-29T12:00:00,2026-11-22T12:00:00
"0 12 * * 7",2026-01-01T00:00:00,2026-01-04T12:00:00,2025-12-28T12:00:00
"0 12 * * 7",2026-02-28T23:59:00,2026-03-01T12:00:00,2026-02-22T12:00:00
"0 12 * * 7",2026-03-01T00:00:30,2026-03-01T12:00:00,2026-02-22T12:00:00
"0 12 * * 7",2026-06-15T14:30:45,2026-06-21T12:00:00,2026-06-14T12:00:00
"0 12 * * 7",2026-07-03T14:30:45,2026-07-05T12:00:00,2026-06-28T12:00:00
"0 12 * * 7",2026-08-31T23:00:00,2026-09-06T12:00:00,2026-08-30T12:00:00
"0 12 * * 7",2026-12-31T23:59:59,2027-01-03T12:00:00,2026-12-27T12:00:00
"0 12 * * 7",2027-01-01T00:00:00,2027-01-03T12:00:00,2026-12-27T12:00:00
"0 12 * * 7",2028-02-28T12:00:00,2028-03-05T12:00:00,2028-02-27T12:00:00
"0 12 * * 7",2028-02-29T12:00:00,2028-03-05T12:00:00,2028-02-27T12:00:00
"0 12 * * 7",2026-09-01T09:59:59,2026-09-06T12:00:00,2026-08-30T12:00:00
"0 12 * * 7",2026-11-23T04:05:06,2026-11-29T12:00:00,2026-11-22T12:00:00
"0 0 29 2 *",2026-01-01T00:00:00,2028-02-29T00:00:00,
"0 0 29 2 *",2026-02-28T23:59:00,2028-02-29T00:00:00,
"0 0 29 2 *",2026-03-01T00:00:30,2028-02-29T00:00:00,
"0 0 29 2 *",2026-06-15T14:30:45,2028-02-29T00:00:00,
"0 0 29 2 *",2026-07-03T14:30:45,2028-02-29T00:00:00,
"0 0 29 2 *",2026-08-31T23:00:00,2028-02-29T00:00:00,
"0 0 29 2 *",2026-12-31T23:59:59,2028-02-29T00:00:00,
"0 0 29 2 *",2027-01-01T00:00:00,2028-02-29T00:00:00,
"0 0 29 2 *",2028-02-28T12:00:00,2028-02-29T00:00:00,
"0 0 29 2 *",2028-02-29T12:00:00,2032-02-29T00:00:00,2028-02-29T00:00:00
"0 0 29 2 *",2026-09-01T09:59:59,2028-02-29T00:00:00,
"0 0 29 2 *",2026-11-23T04:05:06,2028-02-29T00:00:00,
"0 8 15 * 3",2026-01-01T00:00:00,2026-01-07T08:00:00,2025-12-31T08:00:00
"0 8 15 * 3",2026-02-28T23:59:00,2026-03-04T08:00:00,2026-02-25T08:00:00
"0 8 15 * 3",2026-03-01T00:00:30,2026-03-04T08:00:00,2026-02-25T08:00:00
"0 8 15 * 3",2026-06-15T14:30:45,2026-06-17T08:00:00,2026-06-15T08:00:00
"0 8 15 * 3",2026-07-03T14:30:45,2026-07-08T08:00:00,2026-07-01T08:00:00
"0 8 15 * 3",2026-08-31T23:00:00,2026-09-02T08:00:00,2026-08-26T08:00:00
"0 8 15 * 3",2026-12-31T23:59:59,2027-01-06T08:00:00,2026-12-30T08:00:00
"0 8 15 * 3",2027-01-01T00:00:00,2027-01-06T08:00:00,2026-12-30T08:00:00
"0 8 15 * 3",2028-02-28T12:00:00,2028-03-01T08:00:00,2028-02-23T08:00:00
"0 8 15 * 3",2028-02-29T12:00:00,2028-03-01T08:00:00,2028-02-23T08:00:00
"0 8 15 * 3",2026-09-01T09:59:59,2026-09-02T08:00:00,2026-08-26T08:00:00
"0 8 15 * 3",2026-11-23T04:05:06,2026-11-25T08:00:00,2026-11-18T08:00:00
"*/7 3-6 * * *",2026-01-01T00:00:00,2026-01-01T03:00:00,2025-12-31T06:56:00
"*/7 3-6 * * *",2026-02-28T23:59:00,2026-03-01T03:00:00,2026-02-28T06:56:00
"*/7 3-6 * * *",2026-03-01T00:00:30,2026-03-01T03:00:00,2026-02-28T06:56:00
"*/7 3-6 * * *",2026-06-15T14:30:45,2026-06-16T03:00:00,2026-06-15T06:56:00
"*/7 3-6 * * *",2026-07-03T14:30:45,2026-07-04T03:00:00,2026-07-03T06:56:00
"*/7 3-6 * * *",2026-08-31T23:00:00,2026-09-01T03:00:00,2026-08-31T06:56:00
"*/7 3-6 * * *",2026-12-31T23:59:59,2027-01-01T03:00:00,2026-12-31T06:56:00
"*/7 3-6 * * *",2027-01-01T00:00:00,2027-01-01T03:00:00,2026-12-31T06:56:00
"*/7 3-6 * * *",2028-02-28T12:00:00,2028-02-29T03:00:00,2028-02-28T06:56:00
"*/7 3-6 * * *",2028-02-29T12:00:00,2028-03-01T03:00:00,2028-02-29T06:56:00
"*/7 3-6 * * *",2026-09-01T09:59:59,2026-09-02T03:00:00,2026-09-01T06:56:00
"*/7 3-6 * * *",2026-11-23T04:05:06,2026-11-23T04:07:00,2026-11-23T04:00:00
"1-5 * * * *",2026-01-01T00:00:00,2026-01-01T00:01:00,2025-12-31T23:05:00
"1-5 * * * *",2026-02-28T23:59:00,2026-03-01T00:01:00,2026-02-28T23:05:00
"1-5 * * * *",2026-03-01T00:00:30,2026-03-01T00:01:00,2026-02-28T23:05:00
"1-5 * * * *",2026-06-15T14:30:45,2026-06-15T15:01:00,2026-06-15T14:05:00
"1-5 * * * *",2026-07-03T14:30:45,2026-07-03T15:01:00,2026-07-03T14:05:00
"1-5 * * * *",2026-08-31T23:00:00,2026-08-31T23:01:00,2026-08-31T22:05:00
"1-5 * * * *",2026-12-31T23:59:59,2027-01-01T00:01:00,2026-12-31T23:05:00
"1-5 * * * *",2027-01-01T00:00:00,2027-01-01T00:01:00,2026-12-31T23:05:00
"1-5 * * * *",2028-02-28T12:00:00,2028-02-28T12:01:00,2028-02-28T11:05:00
"1-5 * * * *",2028-02-29T12:00:00,2028-02-29T12:01:00,2028-02-29T11:05:00
"1-5 * * * *",2026-09-01T09:59:59,2026-09-01T10:01:00,2026-09-01T09:05:00
"1-5 * * * *",2026-11-23T04:05:06,2026-11-23T05:01:00,2026-11-23T04:05:00
"0 0 31 4 *",2026-01-01T00:00:00,,
"0 0 31 4 *",2026-02-28T23:59:00,,
"0 0 31 4 *",2026-03-01T00:00:30,,
"0 0 31 4 *",2026-06-15T14:30:45,,
"0 0 31 4 *",2026-07-03T14:30:45,,
"0 0 31 4 *",2026-08-31T23:00:00,,
"0 0 31 4 *",2026-12-31T23:59:59,,
"0 0 31 4 *",2027-01-01T00:00:00,,
"0 0 31 4 *",2028-02-28T12:00:00,,
"0 0 31 4 *",2028-02-29T12:00:00,,
"0 0 31 4 *",2026-09-01T09:59:59,,
"0 0 31 4 *",2026-11-23T04:05:06,,
"@hourly",2026-01-01T00:00:00,2026-01-01T01:00:00,2026-01-01T00:00:00
"@hourly",2026-02-28T23:59:00,2026-03-01T00:00:00,2026-02-28T23:00:00
"@hourly",2026-03-01T00:00:30,2026-03-01T01:00:00,2026-03-01T00:00:00
"@hourly",2026-06-15T14:30:45,2026-06-15T15:00:00,2026-06-15T14:00:00
"@hourly",2026-07-03T14:30:45,2026-07-03T15:00:00,2026-07-03T14:00:00
"@hourly",2026-08-31T23:00:00,2026-09-01T00:00:00,2026-08-31T23:00:00
"@hourly",2026-12-31T23:59:59,2027-01-01T00:00:00,2026-12-31T23:00:00
"@hourly",2027-01-01T00:00:00,2027-01-01T01:00:00,2027-01-01T00:00:00
"@hourly",2028-02-28T12:00:00,2028-02-28T13:00:00,2028-02-28T12:00:00
"@hourly",2028-02-29T12:00:00,2028-02-29T13:00:00,2028-02-29T12:00:00
"@hourly",2026-09-01T09:59:59,2026-09-01T10:00:00,2026-09-01T09:00:00
"@hourly",2026-11-23T04:05:06,2026-11-23T05:00:00,2026-11-23T04:00:00
"@daily",2026-01-01T00:00:00,2026-01-02T00:00:00,2026-01-01T00:00:00
"@daily",2026-02-28T23:59:00,2026-03-01T00:00:00,2026-02-28T00:00:00
"@daily",2026-03-01T00:00:30,2026-03-02T00:00:00,2026-03-01T00:00:00
"@daily",2026-06-15T14:30:45,2026-06-16T00:00:00,2026-06-15T00:00:00
"@daily",2026-07-03T14:30:45,2026-07-04T00:00:00,2026-07-03T00:00:00
"@daily",2026-08-31T23:00:00,2026-09-01T00:00:00,2026-08-31T00:00:00
"@daily",2026-12-31T23:59:59,2027-01-01T00:00:00,2026-12-31T00:00:00
"@daily",2027-01-01T00:00:00,2027-01-02T00:00:00,2027-01-01T00:00:00
"@daily",2028-02-28T12:00:00,2028-02-29T00:00:00,2028-02-28T00:00:00
"@daily",2028-02-29T12:00:00,2028-03-01T00:00:00,2028-02-29T00:00:00
"@daily",2026-09-01T09:59:59,2026-09-02T00:00:00,2026-09-01T00:00:00
"@daily",2026-11-23T04:05:06,2026-11-24T00:00:00,2026-11-23T00:00:00
"@midnight",2026-01-01T00:00:00,2026-01-02T00:00:00,2026-01-01T00:00:00
"@midnight",2026-02-28T23:59:00,2026-03-01T00:00:00,2026-02-28T00:00:00
"@midnight",2026-03-01T00:00:30,2026-03-02T00:00:00,2026-03-01T00:00:00
"@midnight",2026-06-15T14:30:45,2026-06-16T00:00:00,2026-06-15T00:00:00
"@midnight",2026-07-03T14:30:45,2026-07-04T00:00:00,2026-07-03T00:00:00
"@midnight",2026-08-31T23:00:00,2026-09-01T00:00:00,2026-08-31T00:00:00
"@midnight",2026-12-31T23:59:59,2027-01-01T00:00:00,2026-12-31T00:00:00
"@midnight",2027-01-01T00:00:00,2027-01-02T00:00:00,2027-01-01T00:00:00
"@midnight",2028-02-28T12:00:00,2028-02-29T00:00:00,2028-02-28T00:00:00
"@midnight",2028-02-29T12:00:00,2028-03-01T00:00:00,2028-02-29T00:00:00
"@midnight",2026-09-01T09:59:59,2026-09-02T00:00:00,2026-09-01T00:00:00
"@midnight",2026-11-23T04:05:06,2026-11-24T00:00:00,2026-11-23T00:00:00
"@weekly",2026-01-01T00:00:00,2026-01-04T00:00:00,2025-12-28T00:00:00
"@weekly",2026-02-28T23:59:00,2026-03-01T00:00:00,2026-02-22T00:00:00
"@weekly",2026-03-01T00:00:30,2026-03-08T00:00:00,2026-03-01T00:00:00
"@weekly",2026-06-15T14:30:45,2026-06-21T00:00:00,2026-06-14T00:00:00
"@weekly",2026-07-03T14:30:45,2026-07-05T00:00:00,2026-06-28T00:00:00
"@weekly",2026-08-31T23:00:00,2026-09-06T00:00:00,2026-08-30T00:00:00
"@weekly",2026-12-31T23:59:59,2027-01-03T00:00:00,2026-12-27T00:00:00
"@weekly",2027-01-01T00:00:00,2027-01-03T00:00:00,2026-12-27T00:00:00
"@weekly",2028-02-28T12:00:00,2028-03-05T00:00:00,2028-02-27T00:00:00
"@weekly",2028-02-29T12:00:00,2028-03-05T00:00:00,2028-02-27T00:00:00
"@weekly",2026-09-01T09:59:59,2026-09-06T00:00:00,2026-08-30T00:00:00
"@weekly",2026-11-23T04:05:06,2026-11-29T00:00:00,2026-11-22T00:00:00
"@monthly",2026-01-01T00:00:00,2026-02-01T00:00:00,2026-01-01T00:00:00
"@monthly",2026-02-28T23:59:00,2026-03-01T00:00:00,2026-02-01T00:00:00
"@monthly",2026-03-01T00:00:30,2026-04-01T00:00:00,2026-03-01T00:00:00
"@monthly",2026-06-15T14:30:45,2026-07-01T00:00:00,2026-06-01T00:00:00
"@monthly",2026-07-03T14:30:45,2026-08-01T00:00:00,2026-07-01T00:00:00
"@monthly",2026-08-31T23:00:00,2026-09-01T00:00:00,2026-08-01T00:00:00
"@monthly",2026-12-31T23:59:59,2027-01-01T00:00:00,2026-12-01T00:00:00
"@monthly",2027-01-01T00:00:00,2027-02-01T00:00:00,2027-01-01T00:00:00
"@monthly",2028-02-28T12:00:00,2028-03-01T00:00:00,2028-02-01T00:00:00
"@monthly",2028-02-29T12:00:00,2028-03-01T00:00:00,2028-02-01T00:00:00
"@monthly",2026-09-01T09:59:59,2026-10-01T00:00:00,2026-09-01T00:00:00
